Date,Open,High,Low,Close,Adj Close,Volume
2022-05-18,86.300003,86.449997,84.099998,84.599998,81.132599,32754918
2022-05-19,82.300003,82.300003,79.250000,80.199997,76.912933,39987370
2022-05-20,82.949997,83.449997,81.599998,83.000000,79.598175,30011006
2022-05-23,76.699997,76.699997,71.699997,73.949997,70.919090,113585736
2022-05-24,74.349998,75.699997,73.349998,74.250000,71.206802,60064633
2022-05-25,75.000000,75.050003,71.000000,71.150002,68.233856,55416336
2022-05-26,72.000000,74.349998,69.500000,73.650002,70.631393,66187950
2022-05-27,74.449997,74.599998,73.000000,74.199997,71.158852,35122761
2022-05-30,75.000000,75.550003,73.800003,74.750000,71.686310,29257589
2022-05-31,74.400002,76.699997,74.099998,75.949997,72.837128,33084493
2022-06-01,75.949997,77.000000,74.949997,76.449997,73.316628,32105532
2022-06-02,76.900002,76.949997,74.800003,76.400002,73.268684,35686075
2022-06-03,77.400002,77.400002,75.500000,75.650002,72.549423,21785047
2022-06-06,75.449997,76.000000,73.650002,75.699997,72.597366,27661489
2022-06-07,75.000000,75.949997,74.500000,75.000000,71.926064,18218210
2022-06-08,75.250000,76.400002,75.099998,75.800003,72.693275,21951937
2022-06-09,75.250000,75.900002,74.150002,75.050003,71.974014,21014709
2022-06-10,74.050003,74.199997,72.599998,73.300003,70.295746,29410059
2022-06-13,72.000000,72.000000,70.199997,71.500000,68.569511,30530740
2022-06-14,71.000000,73.400002,70.699997,71.250000,68.329765,29432739
2022-06-15,71.949997,72.250000,70.500000,70.750000,67.850250,23770095
2022-06-16,72.000000,72.000000,66.500000,67.250000,64.493706,39971288
2022-06-17,67.250000,70.050003,66.250000,68.449997,65.644516,68542282
2022-06-20,68.599998,68.599998,63.599998,64.900002,62.240017,44821242
2022-06-21,65.599998,69.400002,64.599998,68.800003,65.980179,51488728
2022-06-22,68.000000,68.000000,65.150002,66.500000,63.774445,38976592
2022-06-23,66.500000,68.000000,65.949997,67.250000,64.493706,33483121
2022-06-24,68.000000,69.050003,67.150002,68.000000,65.212959,29172632
2022-06-27,69.300003,70.500000,68.800003,69.949997,67.083038,31633555
2022-06-28,69.800003,71.400002,69.199997,71.099998,68.185913,35159121
2022-06-29,70.150002,70.699997,69.699997,70.050003,67.178947,24035362
2022-06-30,69.900002,70.800003,68.199997,68.550003,65.740425,25854133
2022-07-01,68.199997,70.199997,67.849998,69.900002,67.035095,20563587
2022-07-04,69.199997,69.900002,67.500000,69.000000,66.171982,22848966
2022-07-05,69.000000,71.300003,68.800003,69.599998,66.747391,27353438
2022-07-06,69.250000,69.900002,67.550003,69.599998,66.747391,24025696
